id,title,release_year,genres,vote_average,vote_count,popularity,original_language
976912,Graphic Desires,2023,Thriller|Crime,6.906,85,153.3938,en
1157008,Dime lo que quieres (de verdad),2023,Romance|Drama|Comedy,7.629,31,72.8902,es
1010581,My Fault,2023,Drama|Romance|Thriller,7.734,4078,54.3364,es
848116,Rocky Aur Rani Kii Prem Kahaani,2023,Comedy|Drama|Family|Romance,6.142,88,39.7329,hi
1075175,How to Have Sex,2023,Drama,6.235,502,31.3083,en
502356,The Super Mario Bros. Movie,2023,Family|Comedy|Adventure|Fantasy|Animation,7.6,10779,29.8343,en
569094,Spider-Man: Across the Spider-Verse,2023,Animation|Action|Adventure|Science Fiction,8.3,8647,28.1695,en
872585,Oppenheimer,2023,Drama|History,8.031,11815,28.1104,en
603692,John Wick: Chapter 4,2023,Action|Thriller|Crime,7.7,7942,23.0381,en
346698,Barbie,2023,Comedy|Adventure|Fantasy,6.9,11124,19.3446,en
385687,Fast X,2023,Action|Crime|Thriller,6.993,6328,21.1006,en
447365,Guardians of the Galaxy Vol. 3,2023,Science Fiction|Adventure|Action,7.932,8347,16.8821,en
1072790,Anyone But You,2023,Romance|Comedy,6.775,3071,14.9075,en
572802,Aquaman and the Lost Kingdom,2023,Action|Adventure|Fantasy,6.523,3496,15.0471,en
940551,Migration,2023,Family|Comedy|Adventure|Animation,7.4,2250,14.5878,en
781732,Animal,2023,Action|Crime|Drama,6.129,190,13.9843,hi
493529,Dungeons & Dragons: Honor Among Thieves,2023,Adventure|Fantasy|Comedy,7.3,4645,12.1249,en
1031774,Thriller 40,2023,Documentary|Music,8.629,112,15.2419,en
976573,Elemental,2023,Animation|Comedy|Family|Fantasy|Romance,7.579,5298,13.1925,en
1008042,Talk to Me,2023,Horror,7.143,3750,11.7189,en
934433,Scream VI,2023,Horror|Thriller|Crime,6.948,3193,12.9178,en
926393,The Equalizer 3,2023,Action|Thriller|Crime,7.292,3726,12.433,en
713704,Evil Dead Rise,2023,Horror|Thriller,6.9,3683,12.9343,en
1181678,¿Quieres ser mi hijo?,2023,Comedy|Romance,8.493,354,12.5156,en
1173558,Burning Betrayal,2023,Drama|Mystery|Romance,6.2,243,12.785,pt
640146,Ant-Man and the Wasp: Quantumania,2023,Action|Adventure|Science Fiction,6.2,5846,11.3279,en
575264,Mission: Impossible - Dead Reckoning Part One,2023,Action|Adventure|Thriller,7.503,5131,12.6548,en
615656,Meg 2: The Trench,2023,Action|Science Fiction|Horror,6.4,3981,12.0414,en
1078023,The King of Snipers,2023,Action|Crime|Comedy|War,5.636,11,9.9448,zh
1087040,Money Shot: The Pornhub Story,2023,Documentary,5.762,357,11.3155,en
667538,Transformers: Rise of the Beasts,2023,Science Fiction|Adventure|Action,7.171,5279,12.2995,en
614479,Insidious: The Red Door,2023,Horror|Thriller,6.5,1965,11.3434,en
298618,The Flash,2023,Action|Science Fiction|Adventure,6.617,4995,12.6576,en
1029575,The Family Plan,2023,Action|Comedy|Adventure,7.221,1884,12.1348,en
1108211,Lost in the Stars,2023,Mystery|Crime|Thriller,6.569,101,9.8104,zh
299054,Expend4bles,2023,Action|Adventure|Thriller,6.064,1887,12.4542,en
882569,Guy Ritchie's The Covenant,2023,War|Action|Thriller,7.72,3186,10.6738,en
812037,Last Summer,2023,Drama,6.095,247,10.245,fr
842675,The Wandering Earth II,2023,Science Fiction|Action|Adventure,7.303,720,9.6725,zh
739405,Operation Fortune: Ruse de Guerre,2023,Action|Comedy|Thriller|Adventure,6.5,1959,10.0851,en
507089,Five Nights at Freddy's,2023,Horror|Thriller,7.317,5024,9.5189,en
884605,No Hard Feelings,2023,Comedy|Romance,6.675,3843,10.4053,en
697843,Extraction 2,2023,Action|Thriller|Crime,7.386,2912,8.9635,en
940721,Godzilla Minus One,2023,Science Fiction|Horror|Action,7.572,3186,9.0285,ja
792307,Poor Things,2023,Science Fiction|Romance|Comedy,7.6,5501,9.7828,en
666277,Past Lives,2023,Drama|Romance,7.702,2330,9.4079,en
930094,Red  White & Royal Blue,2023,Comedy|Romance,7.928,1560,10.6001,en
980489,Gran Turismo,2023,Adventure|Drama|Action,7.709,3408,8.4467,en
516806,Last Sentinel,2023,Science Fiction|Thriller,5.414,232,8.2557,en
677179,Creed III,2023,Drama|Action,7.1,2875,9.7301,en
466420,Killers of the Flower Moon,2023,Crime|History|Drama,7.4,4131,8.1147,en
609681,The Marvels,2023,Science Fiction|Adventure|Action,5.946,3394,8.1976,en
976893,Perfect Days,2023,Drama,7.799,1914,8.3146,ja
838240,Robot Dreams,2023,Animation|Drama|Comedy|Science Fiction,8.0,796,8.2963,es
335977,Indiana Jones and the Dial of Destiny,2023,Adventure|Action,6.5,4158,12.1677,en
670292,The Creator,2023,Science Fiction|Action|Adventure,7.038,3900,8.4099,en
447277,The Little Mermaid,2023,Adventure|Family|Fantasy|Romance,6.272,3319,9.3286,en
508883,The Boy and the Heron,2023,Animation|Fantasy|Drama,7.405,2638,8.5313,ja
872906,Jawan,2023,Action|Thriller,7.076,327,8.2946,hi
968051,The Nun II,2023,Horror,6.6,2465,8.0664,en
787699,Wonka,2023,Comedy|Family|Fantasy,7.0,4389,7.9906,en
1068452,Hi Nanna,2023,Drama|Family|Romance,7.836,64,8.2954,te
868759,Ghosted,2023,Action|Comedy|Romance,6.88,2194,7.5975,en
1057491,Naughty,2023,Drama,6.229,105,8.198,ru
893723,PAW Patrol: The Mighty Movie,2023,Adventure|Animation|Comedy|Family|Science Fiction,6.929,558,8.3563,en
960292,My Sole Desire,2023,Romance|Drama,6.536,111,7.3304,fr
594767,Shazam! Fury of the Gods,2023,Comedy|Action|Fantasy,6.4,3641,7.7044,en
1050035,Monster,2023,Mystery|Thriller|Drama,7.918,891,7.7229,ja
753342,Napoleon,2023,History|War|Romance,6.309,3094,7.3648,en
820525,After Everything,2023,Romance|Drama,6.874,998,7.0641,en
695721,The Hunger Games: The Ballad of Songbirds & Snakes,2023,Science Fiction|Action,7.0,3503,7.1099,en
496450,Miraculous: Ladybug & Cat Noir  The Movie,2023,Animation|Fantasy|Action|Romance|Family,7.607,955,7.9339,fr
614930,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,Animation|Comedy|Action|Science Fiction,7.221,1597,7.3497,en
1022796,Wish,2023,Animation|Family|Fantasy|Adventure,6.223,1779,7.6933,en
1163258,12th Fail,2023,Drama,7.925,240,6.9401,hi
1103856,Sex Games,2023,Drama,4.792,12,7.1948,tl
877703,Teen Wolf: The Movie,2023,Action|Fantasy|TV Movie,7.461,966,6.9035,en
700391,65,2023,Action|Adventure|Science Fiction,5.94,2847,8.185,en
856289,Creation of the Gods I: Kingdom of Storms,2023,Action|Fantasy|War,7.079,482,6.0858,zh
770906,Salaar: Part 1 - Ceasefire,2023,Action|Crime|Drama,6.674,112,5.9908,te
1075794,Leo,2023,Animation|Comedy|Family,7.4,1346,5.8606,en
565770,Blue Beetle,2023,Action|Science Fiction|Adventure,6.636,3111,6.2564,en
839369,May December,2023,Drama,6.6,1031,6.274,en
799710,The Wild,2023,Action|Crime,5.2,25,5.0814,ko
1034062,Mortal Kombat Legends: Cage Match,2023,Animation|Action|Fantasy,6.776,154,6.2105,en
997265,Rule 34,2023,Drama,5.3,21,6.2569,pt
812225,Black Clover: Sword of the Wizard King,2023,Animation|Fantasy|Action|Adventure,8.102,387,7.6708,ja
