id,title,release_year,genres,vote_average,vote_count,popularity,original_language,budget,revenue
372058,Your Name.,2016,Animation|Romance|Drama,8.479,12536,24.7342,ja,7500000,405320132
396535,Train to Busan,2016,Horror|Thriller|Action|Adventure,7.748,8338,24.5348,ko,8500000,87547518
269149,Zootopia,2016,Animation|Adventure|Family|Comedy,7.76,18042,24.7268,en,150000000,1025521689
290098,The Handmaiden,2016,Thriller|Drama|Romance,8.187,4301,22.4746,ko,8575000,38600000
293660,Deadpool,2016,Action|Adventure|Comedy,7.623,32694,16.201,en,58000000,782837347
324786,Hacksaw Ridge,2016,Drama|History|War,8.189,14819,17.5712,en,40000000,175302354
209112,Batman v Superman: Dawn of Justice,2016,Action|Adventure|Fantasy,5.996,18953,18.8891,en,250000000,874362803
271110,Captain America: Civil War,2016,Adventure|Action|Science Fiction,7.448,23997,14.931,en,250000000,1155046416
313369,La La Land,2016,Comedy|Drama|Romance,7.897,18073,14.8832,en,30000000,509183536
329865,Arrival,2016,Drama|Science Fiction|Mystery,7.626,19304,14.0067,en,47000000,203388186
296096,Me Before You,2016,Drama|Romance,7.9,13213,13.0307,en,20000000,207945075
140300,Kung Fu Panda 3,2016,Animation|Action|Adventure|Comedy|Family,6.924,6566,14.73,en,145000000,521170825
259693,The Conjuring 2,2016,Horror,7.293,9150,13.8542,en,40000000,322819915
378064,A Silent Voice: The Movie,2016,Animation|Drama|Romance,8.382,4474,14.4993,ja,0,30819442
284052,Doctor Strange,2016,Fantasy|Adventure|Action,7.419,23400,11.6883,en,180000000,676343174
246655,X-Men: Apocalypse,2016,Science Fiction|Fantasy|Action,6.524,13757,11.8759,en,178000000,543934787
419116,Russian Mom,2016,Drama|Romance,5.5,26,10.5687,ko,0,0
381284,Hidden Figures,2016,Drama|History,8.042,10410,11.1849,en,25000000,235957472
343611,Jack Reacher: Never Go Back,2016,Action|Thriller|Drama|Crime,6.011,5320,11.9339,en,60000000,162100000
259316,Fantastic Beasts and Where to Find Them,2016,Fantasy|Adventure,7.308,19672,10.9573,en,180000000,809342332
291805,Now You See Me 2,2016,Crime|Thriller,6.827,11553,10.5597,en,120000000,334897606
68735,Warcraft,2016,Action|Adventure|Fantasy,6.403,7245,10.3738,en,160000000,433677183
348893,Boyka: Undisputed IV,2016,Action|Drama|Thriller|Crime,7.177,1451,11.0149,en,0,63500000
330459,Rogue One: A Star Wars Story,2016,Action|Adventure|Science Fiction,7.506,16376,10.7226,en,200000000,1056057273
335797,Sing,2016,Animation|Music|Comedy|Family,7.123,8417,9.9047,en,75000000,634151679
153518,The Angry Birds Movie,2016,Animation|Adventure|Comedy|Family,6.3,3986,9.9854,en,73000000,349779543
353069,Mother's Day,2016,Comedy|Drama|Romance,5.982,1318,8.4626,en,25000000,48782670
397243,The Autopsy of Jane Doe,2016,Horror|Mystery,6.834,4703,9.2433,en,4000000,6170043
308266,War Dogs,2016,Comedy|Crime|Drama,6.944,5472,8.5953,en,50000000,86234523
462183,Wild Awakening,2016,Drama|Romance|Thriller,5.295,22,8.8963,es,0,0
297761,Suicide Squad,2016,Action|Adventure|Fantasy,5.917,22068,8.9024,en,175000000,749200054
293670,The Wailing,2016,Horror|Mystery,7.378,2038,12.107,ko,10951000,49851770
315011,Shin Godzilla,2016,Action|Science Fiction|Horror,7.224,1560,8.9619,ja,15000000,78053145
334541,Manchester by the Sea,2016,Drama,7.6,6400,7.0037,en,9000000,79000000
278927,The Jungle Book,2016,Family|Adventure|Fantasy,6.871,8484,8.0671,en,175000000,966550600
278154,Ice Age: Collision Course,2016,Adventure|Animation|Family|Comedy|Science Fiction,6.112,4863,8.6034,en,105000000,408579038
283366,Miss Peregrine's Home for Peculiar Children,2016,Fantasy|Adventure|Drama|Family|Thriller,6.837,10466,8.0155,en,110000000,296482446
302946,The Accountant,2016,Crime|Thriller|Drama,7.135,7332,8.1042,en,44000000,155160045
241259,Alice Through the Looking Glass,2016,Adventure|Family|Fantasy,6.564,6772,8.3565,en,170000000,299457024
127380,Finding Dory,2016,Adventure|Animation|Family,7.039,12638,7.6669,en,200000000,1029266989
300671,13 Hours: The Secret Soldiers of Benghazi,2016,War|Action|History|Drama|Thriller,7.273,3933,8.82,en,50000000,69411370
290250,The Nice Guys,2016,Comedy|Crime|Action,7.129,8626,7.4855,en,50000000,71261763
363676,Sully,2016,Drama|History,7.204,7706,7.5163,en,60000000,240800000
310131,The Witch,2016,Horror,7.0,7621,8.1074,en,4000000,40423945
188927,Star Trek Beyond,2016,Action|Adventure|Science Fiction,6.786,7079,6.7701,en,185000000,343471816
274870,Passengers,2016,Drama|Romance|Science Fiction,6.954,14204,7.2625,en,110000000,303144152
278924,Mechanic: Resurrection,2016,Action|Crime|Thriller|Adventure,6.048,3644,7.4292,en,40000000,125729635
376867,Moonlight,2016,Drama,7.358,7524,7.4332,en,4000000,65046687
311324,The Great Wall,2016,Action|Adventure|Fantasy,6.029,5519,7.2591,en,150000000,331957105
333484,The Magnificent Seven,2016,Adventure|Action|Western,6.487,6388,7.1954,en,90000000,162400000
300669,Don't Breathe,2016,Horror|Thriller|Crime,7.013,7946,6.432,en,9900000,158906350
267860,London Has Fallen,2016,Action|Thriller,6.222,5089,6.5241,en,60000000,205754447
334543,Lion,2016,Drama,8.039,6958,5.7542,en,12000000,140312928
47933,Independence Day: Resurgence,2016,Action|Adventure|Science Fiction,5.359,6439,6.1927,en,165000000,389681935
324668,Jason Bourne,2016,Action|Adventure|Thriller,6.377,6191,6.9338,en,120000000,415484914
342473,Ballerina,2016,Animation|Adventure|Comedy|Family,7.205,1984,6.3227,en,30000000,109573511
303991,Demolition,2016,Comedy|Drama,6.844,2490,6.3723,en,10000000,4366460
258489,The Legend of Tarzan,2016,Fantasy|Action|Adventure,5.918,6503,6.9224,en,180000000,356743061
136799,Trolls,2016,Family|Animation|Fantasy|Adventure|Comedy|Music,6.627,3818,6.8406,en,125000000,347337803
302699,Central Intelligence,2016,Action|Comedy,6.413,6339,5.3783,en,50000000,216972543
299687,The 5th Wave,2016,Science Fiction|Adventure|Action,5.935,6016,6.3962,en,38000000,109906372
333371,10 Cloverfield Lane,2016,Thriller|Science Fiction|Drama|Horror,7.003,8657,6.006,en,15000000,110216998
205584,Gods of Egypt,2016,Action|Adventure|Fantasy,5.693,4345,6.7887,en,140000000,150680864
223702,Sausage Party,2016,Adventure|Animation|Comedy|Fantasy,5.754,7698,6.5394,en,19000000,140705322
310307,The Founder,2016,Drama|History,7.144,5381,6.7058,en,15000000,24121245
296524,Deepwater Horizon,2016,Drama|Action,6.896,4893,5.7326,en,110000000,121790376
346672,Underworld: Blood Wars,2016,Fantasy|Action|Thriller|Science Fiction|Horror,5.916,3923,5.6714,en,35000000,81093313
412190,Love O2O,2016,Drama|Comedy|Romance,6.7,60,11.6615,zh,0,39969537
293767,Billy Lynn's Long Halftime Walk,2016,Drama|War,6.034,632,5.471,en,40000000,30930984
376290,Miss Sloane,2016,Thriller|Drama|Crime,7.408,1976,5.8243,en,13000000,9101546
395000,Young Mother 4,2016,Romance,4.5,12,5.6063,ko,0,0
316727,The Purge: Election Year,2016,Action|Horror|Thriller,6.383,5492,5.5909,en,10000000,118587880
207932,Inferno,2016,Mystery|Thriller|Action,6.09,6623,5.5614,en,75000000,220021259
43074,Ghostbusters,2016,Action|Fantasy|Comedy,5.3,6762,5.4076,en,144000000,229147509
